TEST CASE ID,Module,Type,TEST CASE DESCRIPTION,Steps,EXPECTED RESULT,Remark,Actusl result -OP,Actual result -Cloud
TC_001,Agent Fw,Install,Agent Fresh Install on Mac,"1. Take a clean Mac machine with no prior agent installed
2. Copy the new SSMK build agent installer .pkg to the Mac
3. Double-click the .pkg and follow the installer prompts
4. Wait for installation to complete
5. Open Web Console and check if the Mac appears under managed computers",Agent installs successfully. In Web Console the Mac shows as managed with status Online. On the Mac run ""ps aux | grep dcagentservice"" in Terminal to confirm the agent service process is running,"CCA enable & CCA disabled
TC",,
TC_002,Agent Fw,Install,Agent Push Install on Mac,"1. Open console
2. Go to Agent > Computers and click Add Computer
3. Enter the target Mac IP/hostname and credentials
4. Click Install to push agent remotely
5. Wait for push install to complete",Mac appears in Web Console as managed. On the Mac Terminal run ""ps aux | grep dcagentservice"" to confirm agent is running. No manual intervention was needed on the Mac,"CCA enable & CCA disabled
TC",,
TC_003,Agent Fw,Proxy,Mac Agent Communication via Proxy,"1. Configure proxy in server
2. Install Mac agent on this machine using the new build
3. Open Web Console and check if the Mac appears as managed
4. On the Mac open computer.log to check proxy-related log entries",Agent communicates using the proxy. In agent logs you should see no connection errors. In Web Console the Mac shows Online. If proxy auth is configured the log should NOT show ""Failed to read proxy credential from vault"","CCA enable & CCA disabled
TC",,
TC_004,Agent Fw,Proxy,Agent Communication via Proxy v2,"1. Configure proxy settings on mac agent through settings.
2. Verify outbound calls are successful
3. Check logs for proxy usage",Agent communicates via proxy successfully with no connection failures,"CCA enable & CCA disabled
TC",,
TC_005,Agent Fw,WFA,Mac Agent Install with WFA Enabled,"1. In Web Console and enable Waiting For Approval (WFA)
2. Fresh install Mac agent on a new Mac
3. In Web Console check Computers > Waiting For Approval section
4. Verify the Mac appears in the WFA list",Agent installs and shows in WFA list in Web Console. Agent does NOT appear in the managed computers list yet. On the Mac open Terminal and check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcagentservice.log | grep -i approval"" - should show ""Requesting server for Approval Status"","CCA enable & CCA disabled
TC",,
TC_006,Agent Fw,WFA,Mac Agent Install with WFA Disabled,"1. In Web Console ensure WFA is disabled under Agent > Settings
2. Fresh install Mac agent on a new Mac
3. In Web Console check if Mac appears directly in managed computers",Agent installs and appears directly as managed in Web Console without any approval step. Logs should show ""Authtoken Response Success"" indicating direct token exchange succeeded,"CCA enable & CCA disabled
TC",,
TC_007,Agent Fw,WFA,Mac Agent Upgrade with WFA Enabled,"1. Have a Mac agent on an older build already approved and communicating with DS
2. Enable WFA on DS
3. Upgrade the Mac agent to the new SSMK build
4. In Web Console verify the Mac is still in managed computers (not moved back to WFA)",Agent upgrades successfully. The Mac remains in managed computers list and does NOT get moved to WFA queue. Agent continues communicating normally. Check Mac logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcagentservice.log | grep -i upgrade"" should show ""Agent Upgrade occured. Proceeding to check and handle post update actions"","CCA enable & CCA disabled
TC",,
TC_008,Agent Fw,WFA,Mac Agent Upgrade with WFA Disabled,"1. Have a Mac agent on an older build
2. Ensure WFA is disabled on DS
3. Upgrade Mac agent to new build
4. Verify agent communicates normally",Agent upgrades and resumes DS communication. No WFA flow triggered,"CCA enable & CCA disabled
TC",,
TC_009,Agent Fw,Config,Verify ds-server-infoV2.xml IP Scope on Mac,"1. In console configure IP scope settings
2. On the Mac agent trigger a refresh by running ""sudo /Library/ManageEngine/UEMS_Agent/bin/cfgupdate"" in Terminal
3. Look for ds-server-infoV2.xml getting processed in logs",IP Scope gets applied correctly,"CCA enable & CCA disabled
TC",,
TC_010,Agent Fw,Security,Verify binaries-checksumV2.json Signature Verification on Mac,"1. Upgrade Mac agent to the new SSMK build
2. On the Mac open Terminal and check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/computer.log | grep -i checksum""
3. Look for verification-related entries",Logs should show ""Checksum Validated Successfully"".,"CCA enable & CCA disabled
TC",,
TC_011,Agent Fw,Credential,Credential Manager Push Module on Mac,"1. In Web Console configure a credential for a target Mac (e.g. for software deployment)
2. Trigger a push operation (like software install) that uses this credential
4. Verify the push operation completes",Push operation completes successfully on the Mac. In the logs there should be NO ""Failed to decrypt password with FRAMEWORK or master key"" error.,"CCA enable & CCA disabled
TC",,
TC_012,Agent Fw,Movement,RO Movement on Mac,"1. In Web Console go to Remote Office settings
2. Move the Mac device to a different Remote Office scope
3. On the Mac wait for the agent to detect the RO change (up to one refresh cycle)
4. Check agent log
5. In Web Console verify the Mac now communicates with the new DS/RO",Agent detects the RO change. Logs should show ""Remote office ID has to be changed"" followed by ""ProcessRemoteOfficeXML: Remote Office ID has been updated"". In Web Console the Mac now shows under the new Remote Office,"CCA enable & CCA disabled
TC",,
TC_013,Agent Fw,Certificate,csr Normal Flow on Mac,"1. Fresh install or restart the Mac agent
2. On the Mac open Terminal and check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcagentservice.log | grep -i cert""
3. Verify certificate is downloaded",Logs should show ""Cert already downloaded"" on subsequent runs or certificate download success on first run. The log should NOT show ""Error in certificate dictionary parameter"" or ""Error in response decryption"","CCA enable & CCA disabled
TC",,
TC_014,Agent Fw,Auth,APIVersion=v1.1 in Auth Requests on Mac,"1. perform fresh install
2. Check agent logs: network access
3. Inspect the logged URL",The logged authPropsURL should contain ""APIVersion=v1.1"" as a parameter in the URL string,"CCA enable & CCA disabled
TC",,
TC_015,Agent Fw,WFA,Mac Device Moved to WFA Then Re-approved,"1. In Web Console move a managed Mac device to WFA state - by deleting authtoken
2. Wait a few seconds then approve the device again from Web Console > Waiting For Approval
3. On the Mac check agent logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcagentservice.log | grep -i KeyShare""
4. Verify agent resumes normal communication",After re-approval the Mac agent should show ""KeyShare: Initiating key share request"" in logs indicating it fetched new service keys. The agent should then resume normal communication and appear as Online in Web Console,"CCA enable & CCA disabled
TC",,
TC_016,Agent Fw,WFA,Mac Device Approved Before Agent Detects WFA,"1. In Web Console move Mac device to WFA -  by deleting authtoken
2. Immediately approve the device from console before the agent has checked its approval status
3. Wait for the next agent refresh cycle
4. Verify in Web Console the Mac is managed and Online",Agent handles the approval seamlessly. No stuck state. Mac shows as managed and communicating in Web Console,"CCA enable & CCA disabled
TC",,
TC_017,Agent Fw,KeyShare,Service Key Download After Fresh Install,"1. Fresh install Mac agent on new SSMK build
2. Wait for agent to register, check Web Console for the Mac appearing)
3. On the Mac check logs: for ""KeyShare""",Logs should show in this order: (a) ""KeyShare: Initiating key share request for X key(s)"" (b) ""KeyShare: Sending request to <servlet_url>"" (c) ""KeyShare: Received response of X byte(s)"" (d) ""KeyShare response: ..."" with no errors. There should be NO ""KeyShare: Failed to persist shared keys"" or ""KeyShare: response Decryption failed"" errors,"CCA enable & CCA disabled
TC",,
TC_018,Agent Fw,KeyShare,Service Key Download After Upgrade,"1. Have a Mac agent on pre-SSMK old build fully communicating with DS
2. Upgrade to the new SSMK build
3. Wait for agent to complete post-upgrade sync
3. On the Mac check logs: for ""KeyShare""",After upgrade the agent should download service keys. Logs show ""KeyShare: Initiating key share request"" and ""KeyShare: Received response of X byte(s)"". No ""KeyShare: Failed to persist shared keys"" errors,"CCA enable & CCA disabled
TC",,
TC_019,Agent Fw,Auth,Auth Token Migration from Plist to Vault on Upgrade,"1. Have Mac agent on old build (tokens stored in plist) fully communicating with DS
2. Upgrade Mac agent to new SSMK build
3. Wait for upgrade to complete
4. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcagentservice.log | grep -i 'Token migration'""
5. Verify agent still communicates with DS (check Web Console - Mac should be Online)",Logs should show ""Token migration:"" messages. There should be NO ""Token migration: failed to open vault"" errors. If a token was not present it should show ""Token migration: <tokenName> not present in server info - skipping"" at info level (this is normal). After migration agent communicates with DS successfully,"CCA enable & CCA disabled
TC",,
TC_020,Agent Fw,Auth,Auth Token Storage After Fresh Install,"1. Fresh install Mac agent on new SSMK build
2. Wait for agent to complete registration with DS
3. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcagentservice.log | grep -i 'Authtoken'""
4. In Web Console verify the Mac is Online and managed",Logs should show ""Fetching Auth token"" followed by ""AuthProps POST succeeded"" and ""Authtoken Response Success"". The Mac should show Online in Web Console. There should be NO ""Auth properties missing"" or ""Authtoken Response error"" in the logs,"CCA enable & CCA disabled
TC",,
TC_021,Agent Fw,Auth,Approval Token Retrieval on Mac,"1. Have a registered Mac agent on new build
2. From Web Console trigger an action that requires the agent to present its approval token - ex. cloud ondemand 
3. On Mac check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcagentservice.log | grep -i 'Approval'""",Logs should show ""Approval Token set"" indicating the approval token was found and ready. There should be NO ""Approval Token pair missing"" or ""Unable to get approval token"" errors. The triggered action should complete successfully,"CCA enable & CCA disabled
TC",,
TC_022,Agent Fw,Proxy,Proxy Credential Migration on Upgrade,"1. On old build Mac agent configure proxy with username and password in Web Console
2. Verify agent communicates through proxy on old build
3. Upgrade Mac agent to new SSMK build
4. After upgrade verify agent still communicates through proxy
5. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcagentservice.log | grep -i 'Proxy credential'""",Logs should show ""Proxy credential migrated to vault successfully"" followed later by ""ProxyCredentialMigration: PROXYPASSWORD removed from plist"". Agent should continue communicating through proxy. There should be NO ""Failed to decrypt proxy password; skipping migration"" error,"CCA enable & CCA disabled
TC",,
