TEST CASE ID,Module,Type,TEST CASE DESCRIPTION,Steps
TC-INSTALL-001,dcregister (Fresh Install),Functional,Verify fresh agent installation creates vault database files,"1. Perform fresh agent installation using dcregister binary
2. Navigate to agent install directory /data/datavault/
3. Verify agent.db exists under /data/datavault/storage/
4. Verify m_vault.db exists under /data/datavault/vault/
5. Verify both files have 0600 permissions (owner read/write only)"
TC-INSTALL-002,dcregister (Fresh Install),Functional,Verify agent install time is stored in vault on fresh install,"1. Perform fresh agent installation
2. After registration completes check agent logs for 'StoreAgentInstallTime' entry
3. Run: dctroubleshootingtool --db /usr/local/manageengine/uems_agent/data/datavault/storage/agent.db ""SELECT * FROM auth WHERE key='agent_install_time'""
4. Verify the stored value is a valid epoch timestamp close to current time"
TC-INSTALL-003,dcregister (Fresh Install),Functional,Verify auth tokens are stored in vault DB during registration,"1. Perform fresh agent registration (OP or Cloud)
2. Verify no auth-props.json or approval-props.json files are created under /data/
3. Check dcregister logs for 'Stored approval_token' and 'Stored auth_token' entries
4. Verify /data/datavault/vault/m_vault.db is non-empty (encrypted data present)"
TC-INSTALL-004,dcregister (Fresh Install),Functional,Verify CSR private key and client cert stored in vault not files,"1. Perform fresh agent registration with server that issues CSR
2. Verify /data/certificates/certpk.crt file is NOT created
3. Verify /data/certificates/clientcert.crt file is NOT created
4. Check dcregister logs for 'csr_private_key' and 'csr_client_cert' vault store entries"
TC-INSTALL-005,dcregister (Fresh Install),Functional,Verify proxy password stored in vault DB during registration,"1. Configure agent with proxy server (proxy with authentication)
2. Perform fresh agent registration through proxy
3. Verify proxy_password is not stored in server-info.json (M_proxyPassword should be empty or absent)
4. Verify agent connects through proxy successfully after registration (proves password loaded from vault)"
TC-INSTALL-006,dcregister (Fresh Install),Functional,Verify provisioning key stored in vault on cloud registration,"1. Perform cloud agent registration
2. Check dcregister logs for 'prov_key' vault store entry
3. Verify server-info.json does not contain decrypted provisioning key
4. Verify agent can communicate with server post-registration"
TC-INSTALL-007,dcregister (Fresh Install),Functional,Verify vault DB files not world-readable,"1. Perform fresh agent installation
2. Run: ls -la /data/datavault/storage/ and /data/datavault/vault/
3. Verify all .db files have permissions -rw------- (0600)
4. Verify datavault directories have permissions drwx------ (0700)"
TC-UPG-001,dcupgrader (Upgrade),Functional,Verify upgrade from pre-vault version migrates auth data to vault DB,"1. Install agent with version < 11.5.2620.01.L (e.g. 11.5.2606.01.L)
2. Verify auth-props.json and approval-props.json exist under /data/
3. Trigger agent upgrade to latest version (via server push or manual)
4. Wait for dcupgrader to complete
5. Verify vault DB files created under /data/datavault/
6. Check dcupgrader logs for 'Migrated approval_token' and 'Migrated auth_token' entries
7. Verify agent communicates with server successfully after upgrade (proves migrated tokens work)"
TC-UPG-002,dcupgrader (Upgrade),Functional,Verify upgrade migrates approval_token from approval-props.json,"1. Install old agent version with approval-props.json containing M_value1 and M_value2
2. Trigger upgrade
3. Check dcupgrader logs for 'Migrated approval_token to vault DB'
4. After upgrade verify agent WFA (Waiting For Approval) flow works correctly"
TC-UPG-003,dcupgrader (Upgrade),Functional,Verify upgrade migrates auth_token from auth-props.json,"1. Install old agent version with auth-props.json containing M_value1 and M_value2
2. Trigger upgrade
3. Check dcupgrader logs for 'Migrated auth_token to vault DB'
4. After upgrade verify agent server communication works (auth token used in HTTP headers)"
TC-UPG-004,dcupgrader (Upgrade),Functional,Verify upgrade migrates provisioning key from server-info,"1. Install old cloud agent with prov_key in server-info.json (M_value1/M_value2)
2. Trigger upgrade
3. Check dcupgrader logs for 'Migrated prov_key to vault DB'
4. Verify agent re-registration or server communication succeeds post-upgrade"
TC-UPG-005,dcupgrader (Upgrade),Functional,Verify upgrade migrates proxy_password from server-info,"1. Install old agent with proxy configured (M_proxyPassword in server-info.json)
2. Trigger upgrade
3. Check dcupgrader logs for 'Migrated proxy_password to vault DB'
4. Verify agent can communicate through proxy after upgrade"
TC-UPG-006,dcupgrader (Upgrade),Functional,Verify upgrade migrates CSR private key from certpk.crt,"1. Install old agent that has /data/certificates/certpk.crt
2. Trigger upgrade
3. Check dcupgrader logs for 'Migrated csr_private_key to vault DB'
4. Verify HTTPS client cert authentication works after upgrade"
TC-UPG-007,dcupgrader (Upgrade),Functional,Verify upgrade migrates client certificate from clientcert.crt,"1. Install old agent that has /data/certificates/clientcert.crt
2. Trigger upgrade
3. Check dcupgrader logs for 'Migrated csr_client_cert to vault DB'
4. Verify TLS mutual auth works after upgrade"
TC-UPG-008,dcupgrader (Upgrade),Functional,Verify upgrade migrates ds_auth_token when DS auth is enabled,"1. Install old agent with dsAuthEnabled=true in approval-props.json and M_value10 set
2. Trigger upgrade
3. Check dcupgrader logs for 'Migrated ds_auth_token to vault DB from approval-props'
4. Verify DS communication works after upgrade"
TC-UPG-009,dcupgrader (Upgrade),Functional,Verify upgrade migrates agentInstallTime from SystemDetails.json,"1. Install old agent with AgentInstallTime set in SystemDetails.json
2. Trigger upgrade
3. Check dcupgrader logs for 'Migrated agentInstallTime to plain vault DB'
4. Verify vault encryption works post-upgrade (install time used as salt)"
TC-UPG-010,dcupgrader (Upgrade),Functional,Verify upgrade from already-vault version skips migration,"1. Install agent with version >= 11.5.2614.03.L
2. Trigger upgrade to newer version
3. Check dcupgrader logs for 'Skipping auth data migration to vault DB'
4. Verify existing vault data is untouched"
TC-UPG-011,dcupgrader (Upgrade),Functional,Verify upgrade handles missing approval-props.json gracefully,"1. Install old agent without approval-props.json (agent not yet approved)
2. Trigger upgrade
3. Verify dcupgrader does not crash or panic
4. Verify auth-props.json is used as fallback source
5. Check logs for appropriate messages"
TC-UPG-012,dcupgrader (Upgrade),Functional,Verify upgrade handles missing auth-props.json gracefully,"1. Install old agent without auth-props.json
2. Trigger upgrade
3. Verify no crash or panic in dcupgrader
4. Verify other migration steps (prov_key/proxy/certs) still complete"
TC-UPG-013,dcupgrader (Upgrade),Functional,Verify upgrade migrates dynamic_key and approval_key from file value2 fields,"1. Install old agent with auth-props.json (M_value2) and approval-props.json (M_value2)
2. Trigger upgrade
3. Check dcupgrader logs for dynamic_key and approval_key storage
4. Verify post-upgrade communication uses decrypted dynamic key from vault"
