TC ID,Category,Priority,Pre-Requisites,Objective,Detailed Steps,,Test Data / Input,Expected Result,Log / DB Verification,OS Platform,Related Ticket / Workflow,Status
DC_NS_1,Installation,High,Fresh OS image (Windows Server / Win10/11 client).,Verify NS service installs alongside DC server on all supported OS,"1. Download the DesktopCentral installer for the target OS.
2. Run the installer with default options.
3. Wait for installation to complete and the server to start.
4. Open services.msc and locate 'ManageEngine Desktop Central Server', 'Apache', and 'ManageEngine Desktop Central Notification Server'.
5. Confirm each is in 'Running' state.
6. Open the Web console and confirm it loads.",GOAT,Installer package for each supported OS.,"All three services - DC server, Apache, Notification server - are in Running state.",dcnotificationserverlog: startup banner with port and worker thread count.,All supported OS,,
DC_NS_2,Uninstallation,High,DC server (with NS) installed.,Verify NS service is removed on DC server uninstall,"1. Go to Control Panel > Programs and Features.
2. Select ManageEngine Desktop Central and click Uninstall.
3. Follow uninstall prompts to completion.
4. Run 'sc query dcnotificationserver' and check Programs list.",GOAT,Existing DC install.,NS service no longer exists. sc query returns 'service does not exist'.,Uninstall log shows NS stop + delete entries.,Windows,,
DC_NS_3,Restart DC Server,Medium,DC server running.,Verify NS service restarts when DC server restarts,"1. Open services.msc.
2. Right-click ManageEngine Desktop Central Server > Restart.
3. Wait for the parent service to come back up.
4. Verify NS service state.",GOAT,Service Manager restart.,NS service restarts and is in Running state after DC server restart.,nscontrollerlog records stop and start transitions.,Windows,,
DC_NS_4,Stop NS,Medium,NS service running for the first time (no prior crashes).,Verify first stop is recorded with failure count = 1,"1. Open services.msc and stop 'ManageEngine Desktop Central Notification Server'.
2. Open nsrequestlog (DesktopCentral_server/logs).
3. Locate the exception line for the stop event.
4. Confirm failure count value.",GOAT,Manual stop via Service Manager.,Exception logged. Failure count = 1.,nsrequestlog: exception entry with failure count = 1.,Windows,,
DC_NS_5,NS monitoring,Medium,NS service stopped manually (case DC_NS_4).,Verify NS watchdog auto-restarts NS,"1. Immediately after DC_NS_4, watch the NS service state in services.msc.
2. Wait up to the watchdog interval.
3. Refresh services.msc.",GOAT,Single manual stop.,NS service restarts automatically.,nscontrollerlog: restart entry after the stop entry.,Windows,,
DC_NS_6,Stop NS,Medium,First stop already happened within the last hour.,Verify second stop within 1h sets failure count = 2,"1. After DC_NS_5 restart, stop NS again from services.msc (within an hour of the first stop).
2. Open nscontrollerlog and find the latest stop entry.
3. Confirm failure count.",GOAT,Second manual stop within 60 min.,Failure count = 2 (or 1 if the previous stoppage was more than an hour ago).,nscontrollerlog: failure count = 2.,Windows,,
DC_NS_7,NS monitoring,Medium,Two stops within an hour (after DC_NS_6).,Verify NS still auto-restarts after second stop,"1. Watch the NS service state after the second stop.
2. Wait for the watchdog interval.
3. Refresh services.msc.",GOAT,After second stop.,NS service restarts.,nscontrollerlog: restart entry.,Windows,,
DC_NS_8,Stop NS,High,"Two stops already in last hour (DC_NS_6, DC_NS_7).",Verify third stop sets failure count = 3,"1. Stop NS for the third time from services.msc.
2. Open nscontrollerlog and find the latest stop entry.
3. Confirm failure count.",GOAT,Third manual stop within 60 min.,Failure count = 3.,nscontrollerlog: failure count = 3.,Windows,,
DC_NS_9,NS monitoring,High,Three stops within an hour (DC_NS_8).,Verify NS does NOT auto-restart after third stop,"1. Watch the NS service state.
2. Wait at least the watchdog interval.
3. Confirm NS remains stopped.",GOAT,After third stop.,NS service does NOT restart.,NSDETAILS table flagged as disabled.,Windows,,
DC_NS_10,NS monitoring,Medium,NS disabled after three stops (DC_NS_9).,Verify Web console alerts the operator,"1. Log in to the DC Web console.
2. Open the Home page.
3. Confirm the alert banner / widget.",Qengine,After third failure.,Alert message 'NS failed to start' is displayed.,Home page shows NS failure alert.,Web console,,
