TEST CASE ID,Module,Type,TEST CASE DESCRIPTION,Prerequisite,Steps,EXPECTED RESULT,Remark
TC_001,Agent Fw,Install,Agent Fresh Install,WinHttps & Poco,"1. Take a clean machine
2. Run agent installer
3. Complete installation",Agent installs successfully services start and agent registers with DS,
TC_002,Agent Fw,Install,DS Fresh Install,WinHttps & Poco,"1. Take a clean machine
2. Run DS installer
3. Complete installation",DS installs successfully all services start and DS is accessible,
TC_003,Agent Fw,Install,Agent Push Install,WinHttps & Poco,"1. From DS console select target machine
2. Trigger push install of agent",Agent gets pushed installs silently and registers with DS,
TC_004,Agent Fw,Install,DS Push Install,WinHttps & Poco,"1. Trigger DS push install from management console to target machine
2. Monitor installation progress",DS installs silently on target and services start successfully,
TC_005,Agent Fw,Proxy,Proxy - Agent communication via proxy,WinHttps & Poco,"1. Configure proxy settings
2. Install agent
3. Check agent-DS communication",Agent communicates with DS through configured proxy,
TC_006,Agent Fw,Proxy,Proxy - DS communication via proxy,WinHttps & Poco,"1. Configure proxy on DS machine
2. Verify DS outbound calls",DS communicates via proxy successfully,
TC_007,Agent Fw,WFA,Agent Install with WFA Enabled,WinHttps & Poco,"1. Enable WFA on server
2. Fresh install agent
3. Check agent status",Agent installs detects WFA mode and operates accordingly,
TC_008,Agent Fw,WFA,Agent Install with WFA Disabled,WinHttps & Poco,"1. Disable WFA on server
2. Fresh install agent
3. Check agent status",Agent installs and communicates normally without WFA flow,
TC_009,Agent Fw,WFA,Agent Upgrade with WFA Enabled,WinHttps & Poco,"1. Enable WFA
2. Upgrade agent from older version
3. Verify WFA state post-upgrade",Agent upgrades successfully and WFA state is retained post-upgrade,
TC_010,Agent Fw,WFA,Agent Upgrade with WFA Disabled,WinHttps & Poco,"1. Disable WFA
2. Upgrade agent
3. Verify normal communication",Agent upgrades with no WFA disruption,
TC_011,Agent Fw,WFA,DS Install with WFA Enabled,WinHttps & Poco,"1. Enable WFA config
2. Fresh install DS
3. Verify DS behavior",DS installs and handles WFA mode correctly,
TC_012,Agent Fw,WFA,DS Install with WFA Disabled,WinHttps & Poco,"1. Disable WFA
2. Fresh install DS
3. Verify DS behavior",DS installs normally and no WFA references are triggered,
TC_013,Agent Fw,WFA,DS Upgrade with WFA Enabled,WinHttps & Poco,"1. Enable WFA
2. Upgrade DS
3. Verify WFA config post-upgrade",DS upgrades and WFA config persists and works post-upgrade,
