TEST CASE ID,Module,Type,TEST CASE DESCRIPTION,Prerequisite,Steps,EXPECTED RESULT,Remark
TC-SSMK-KEYSHARE-001,uems_agent_utils,Functional,Fresh agent registration negotiates per-module SSMK keys with DS,DS reachable; clean Windows endpoint,"1. Install agent fresh against SSMK-enabled DS
2. Wait for registration to complete
3. Inspect agent logs for KeyShare exchange
4. Inspect agent vault store for per-module keys",Registration succeeds; vault contains a distinct key entry for every active service module (AGENT_UTILS, FRAMEWORK, PATCH, INVENTORY, DCP, ACP, DMS); no single legacy master key present,Happy path
TC-SSMK-KEYSHARE-002,uems_agent_utils,Functional,Key Share servlet returns per-module keys with valid AES-GCM material,DS + agent registered,"1. From DS, force key share by triggering rotation API
2. On agent, watch the KeyShare HTTP call
3. Verify each returned key length and key id (UUID) in vault",All returned keys are 32 bytes; each has a unique UUID; vault rows have non-empty isActive and modified time,Happy path
TC-SSMK-KEYSHARE-003,uems_agent_utils,Negative,Key Share servlet returns HTTP 401 unauthorized,Agent registered,"1. Manually revoke agent token on DS so /keyShareRequest returns 401
2. Trigger key share from agent
3. Observe agent behavior",Agent logs Unauthorized; does NOT retry in tight loop; falls back to existing valid keys; no crash; status shows ""auth needed"",BUG SCENARIO B2
TC-SSMK-KEYSHARE-004,uems_agent_utils,Negative,Key Share servlet returns HTTP 403 rejected,Agent registered,"1. Configure DS rule to reject this agent UUID
2. Trigger key share
3. Observe behavior over 10 minutes",Agent logs ""key share servlet rejected"" once; backs off; no infinite retry; persistent counter incremented in registry,BUG SCENARIO B2
TC-SSMK-KEYSHARE-005,uems_agent_utils,Negative,Key Share servlet returns malformed JSON,Agent registered,"1. Use proxy to mangle /keyShareRequest response body
2. Trigger key share
3. Inspect agent",Agent logs JSON parse error with safe truncation; vault unchanged; previous keys retained,FAILURE SCENARIO
TC-SSMK-KEYSHARE-006,uems_agent_utils,Retry,Key Share servlet transient 503 then 200,Agent registered,"1. Simulate DS returning 503 on first 2 attempts then 200
2. Trigger key share
3. Inspect retry interval",Agent retries with backoff (>= 30s gap); 3rd attempt succeeds; new keys stored,RETRY SCENARIO
TC-SSMK-KEYSHARE-007,uems_agent_utils,Functional,Fallback for dynamic key retrieval when primary fetch fails,Agent registered; vault has cached keys,"1. Block /keyShareRequest at the firewall
2. Restart agent
3. Use cached vault for decrypt of stored cred",Agent uses cached keys; decryption of existing creds succeeds; logs ""fallback to cached"",Happy path (post-fix)
TC-SSMK-KEYROT-001,uems_agent_utils,Functional,Key rotation: Active -> Adaption -> Active completes,Agent + DS healthy,"1. Trigger rotation from DS for FRAMEWORK module
2. Confirm key now Adaption on agent
3. After adaption window, verify new key promoted to Active
4. Verify old key removed",FRAMEWORK row in vault shows new UUID; isActive=true; previous UUID purged; modified time updated,State Transition
TC-SSMK-KEYROT-002,uems_agent_utils,Negative,Service key modified time resets correctly on cleanup,Agent has rotated key once,"1. Restart agent
2. Trigger another rotation
3. Verify modified time of cleanup keys is reset, not stale",modified time of cleaned-up keys is current; no orphan rows with old timestamp,BUG SCENARIO B1
TC-SSMK-KEYROT-003,uems_agent_utils,Edge,Rotation triggered while a long upload is in flight,Agent uploading inventory,"1. Begin inventory upload (>30s)
2. Mid-flight, force rotation
3. Verify upload completes and next call uses new key",Active upload completes with prior key; subsequent calls use new key; no resend storm,Concurrency
TC-SSMK-KEYROT-004,uems_agent_utils,Rare,Agent crashes during rotation between Active and Adaption write,Crash injector available,"1. Inject crash after Adaption row written but before Active flag updated
2. Restart agent
3. Verify recovery",On startup agent detects partial state and re-runs rotation; no decrypt failure for any module,RARE SCENARIO
TC-SSMK-KEYROT-005,uems_agent_utils,State,isKeyAtAdaptionStage flag transitions correctly,DS issues rotation,"1. Mark FRAMEWORK as adaption on DS
2. Pull /keyShareRequest
3. Force isKeyAtAdaptionStage true
4. Then complete and observe transition to false",Vault row shows isAdaption=1 then 0; both old and new keys readable while in adaption,State transition
TC-SSMK-VAULT-001,uems_agent_utils,Functional,Cert private key stored encrypted under AGENT_UTILS key,Agent registered,"1. Open vault store
2. Inspect cert key entry",Entry encrypted; AAD references AGENT_UTILS module id; cannot be decrypted with FRAMEWORK key,Security
TC-SSMK-VAULT-002,uems_agent_utils,Security,Tampered ciphertext fails GCM auth and is logged,Agent has stored auth token,"1. Flip one byte in the auth token ciphertext at rest
2. Restart agent",Decrypt fails with GCM tag mismatch; agent triggers re-auth; tampering logged at WARN,Security
TC-SSMK-VAULT-003,uems_agent_utils,Negative,Wrong key id used (key UUID drift) returns decrypt error not crash,Agent has stored creds,"1. Manually edit vault to reference a non-existent key UUID
2. Restart agent",Agent logs ""key not found <uuid>""; does NOT crash; module disabled or token re-requested,Negative
TC-SSMK-VAULT-004,uems_agent_utils,Negative,Vault file deleted between processes,Agent running with cached keys,"1. With agent running, delete the vault file
2. Trigger next status update",Agent recreates empty vault and re-requests keys from DS; no crash; service continues,Resource
